Name	City	Status	Research Output	Student/Faculty Ratio	Scholarships	International Students	Size	Total Faculty	URL
Massachusetts Institute of Technology (MIT)	Cambridge	Private	Very High	4		3,730	M	3,065	https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
Stanford University	Stanford	Private	Very High	3		3,879	L	4,725	https://www.topuniversities.com/universities/stanford-university
Harvard University	Cambridge	Private	Very High	5		5,877	L	4,646	https://www.topuniversities.com/universities/harvard-university
California Institute of Technology (Caltech)	Pasadena	Private	Very High	2		692	S	968	https://www.topuniversities.com/universities/california-institute-technology-caltech
University of Chicago	Chicago	Private	Very High	6	Yes	4,696	L	2,703	https://www.topuniversities.com/universities/university-chicago
University of Pennsylvania	Philadelphia	Private	Very High	4	Yes	4,636	L	5,154	https://www.topuniversities.com/universities/university-pennsylvania
Yale University	New Haven	Private	Very High	2	Yes	2,537	M	5,391	https://www.topuniversities.com/universities/yale-university
Columbia University	New York City	Private	Very High	4	Yes	11,252	L	7,087	https://www.topuniversities.com/universities/columbia-university
Princeton University	Princeton	Private	Very High	8		1,912	M	1,050	https://www.topuniversities.com/universities/princeton-university
Cornell University	Ithaca	Private	Very High	8	Yes	5,675	L	2,843	https://www.topuniversities.com/universities/cornell-university
University of Michigan-Ann Arbor	Ann Arbor	Public	Very High	6		7,341	XL	7,132	https://www.topuniversities.com/universities/university-michigan-ann-arbor
Johns Hopkins University	Baltimore	Private	Very High	3	Yes	5,070	L	4,855	https://www.topuniversities.com/universities/johns-hopkins-university
Northwestern University	Evanston	Private	Very High	5	Yes	3,846	L	3,652	https://www.topuniversities.com/universities/northwestern-university
University of California, Berkeley (UCB)	Berkeley	Public	Very High	11		9,428	XL	3,701	https://www.topuniversities.com/universities/university-california-berkeley-ucb
University of California, Los Angeles (UCLA)	Los Angeles	Public	Very High	10		6,140	XL	4,487	https://www.topuniversities.com/universities/university-california-los-angeles-ucla
New York University (NYU)	New York City	Private	Very High	6	Yes	16,218	XL	7,874	https://www.topuniversities.com/universities/new-york-university-nyu
University of California, San Diego (UCSD)	San Diego	Public	Very High	8		8,567	XL	4,545	https://www.topuniversities.com/universities/university-california-san-diego-ucsd
Duke University	Durham	Private	Very High	3	Yes	3,445	L	5,673	https://www.topuniversities.com/universities/duke-university
Carnegie Mellon University	Pittsburgh	Private	Very High	9	Yes	5,739	L	1,534	https://www.topuniversities.com/universities/carnegie-mellon-university
Brown University	Providence	Private	Very High	7	Yes	2,002	M	1,389	https://www.topuniversities.com/universities/brown-university
University of Texas at Austin	Austin	Public	Very High	17		4,953	XL	2,887	https://www.topuniversities.com/universities/university-texas-austin
University of Wisconsin-Madison	Madison	Public	Very High	8		5,737	XL	5,166	https://www.topuniversities.com/universities/university-wisconsin-madison
University of Illinois at Urbana-Champaign	Champaign	Public	Very High	17		9,987	XL	2,748	https://www.topuniversities.com/universities/university-illinois-urbana-champaign
University of Washington	Seattle	Public	Very High	15		7,362	XL	2,796	https://www.topuniversities.com/universities/university-washington
Georgia Institute of Technology	Atlanta	Public	Very High	19		5,675	L	1,267	https://www.topuniversities.com/universities/georgia-institute-technology
Rice University	Houston	Private	Very High	7	Yes	2,278	M	996	https://www.topuniversities.com/universities/rice-university
Pennsylvania State University	University Park	Public	Very High	11		6,943	XL	4,207	https://www.topuniversities.com/universities/pennsylvania-state-university
University of North Carolina, Chapel Hill	Chapel Hill	Public	Very High	7		2,749	XL	4,646	https://www.topuniversities.com/universities/university-north-carolina-chapel-hill
Washington University in St. Louis	St. Louis	Private	Very High	5	Yes	3,535	L	3,193	https://www.topuniversities.com/universities/washington-university-st-louis
Boston University	Boston	Private	Very High	10	Yes	8,159	L	2,642	https://www.topuniversities.com/universities/boston-university
University of Southern California	Los Angeles	Private	Very High	10	Yes	9,107	XL	3,116	https://www.topuniversities.com/universities/university-southern-california
Purdue University	West Lafayette	Public	Very High	15		8,034	XL	2,622	https://www.topuniversities.com/universities/purdue-university
The Ohio State University	Columbus	Public	Very High	9		7,029	XL	6,388	https://www.topuniversities.com/universities/ohio-state-university
University of California, Davis	Davis	Public	Very High	10		8,414	XL	3,420	https://www.topuniversities.com/universities/university-california-davis
University of California, Santa Barbara (UCSB)	Santa Barbara	Public	Very High	16		4,309	L	1,597	https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb
University of Rochester	Rochester	Private	Very High	5	Yes	3,644	M	1,853	https://www.topuniversities.com/universities/university-rochester
Michigan State University	East Lansing	Public	Very High	15	Yes	5,795	XL	3,008	https://www.topuniversities.com/universities/michigan-state-university
University of Maryland, College Park	College Park	Public	Very High	10	Yes	4,659	XL	3,798	https://www.topuniversities.com/universities/university-maryland-college-park
Emory University	Atlanta	Private	Very High	5	Yes	2,264	L	2,725	https://www.topuniversities.com/universities/emory-university
Case Western Reserve University	Cleveland	Private	Very High	7	Yes	2,864	M	1,639	https://www.topuniversities.com/universities/case-western-reserve-university
University of Pittsburgh	Pittsburgh	Public	Very High	6	Yes	2,590	L	4,746	https://www.topuniversities.com/universities/university-pittsburgh
Texas A&M University	College Station	Public	Very High	21		6,621	XL	3,049	https://www.topuniversities.com/universities/texas-am-university
University of Florida	Gainesville	Public	Very High	7	Yes	4,143	XL	6,222	https://www.topuniversities.com/universities/university-florida
University of Minnesota Twin Cities	Minneapolis	Public	Very High	11	Yes	5,630	XL	5,087	https://www.topuniversities.com/universities/university-minnesota-twin-cities
Dartmouth College	Hanover	Private	Very High	8	Yes	997	M	836	https://www.topuniversities.com/universities/dartmouth-college
Arizona State University	Phoenix	Public	Very High	17		8,430	XL	2,869	https://www.topuniversities.com/universities/arizona-state-university
Vanderbilt University	Nashville	Private	Very High	3	Yes	2,022	L	4,473	https://www.topuniversities.com/universities/vanderbilt-university
University of Notre Dame	Notre Dame	Private	Very High	8	Yes	1,484	L	1,545	https://www.topuniversities.com/universities/university-notre-dame
University of Virginia	Charlottesville	Public	Very High	8	Yes	2,201	L	2,731	https://www.topuniversities.com/universities/university-virginia
University of California, Irvine	Irvine	Public	Very High	13		9,323	XL	2,775	https://www.topuniversities.com/universities/university-california-irvine
University of Massachusetts Amherst	Amherst	Public	Very High	14		3,696	L	1,852	https://www.topuniversities.com/universities/university-massachusetts-amherst
Georgetown University	Washington D.C.	Private	Very High	8	Yes	3,286	L	2,009	https://www.topuniversities.com/universities/georgetown-university
University of Colorado Boulder	Boulder	Public	Very High	11		2,441	XL	2,946	https://www.topuniversities.com/universities/university-colorado-boulder
Yeshiva University	New York City	Private	Very High	10	Yes	467	S	471	https://www.topuniversities.com/universities/yeshiva-university
Rutgers University–New Brunswick	New Brunswick	Public	Very High	9		7,965	XL	5,009	https://www.topuniversities.com/universities/rutgers-university-new-brunswick
The University of Arizona	Tucson	Public	Very High	6		3,526	XL	5,724	https://www.topuniversities.com/universities/university-arizona
Tufts University	Medford	Private	Very High	8	Yes	1,798	M	1,459	https://www.topuniversities.com/universities/tufts-university
University of Illinois at Chicago (UIC)	Chicago	Public	Very High	10	Yes	3,425	L	2,808	https://www.topuniversities.com/universities/university-illinois-chicago-uic
North Carolina State University	Raleigh	Public	Very High	15	Yes	3,156	L	1,944	https://www.topuniversities.com/universities/north-carolina-state-university
Indiana University Bloomington	Bloomington	Public	Very High	11		3,722	XL	3,837	https://www.topuniversities.com/universities/indiana-university-bloomington
University of Miami	Miami	Private	Very High	6	Yes	2,646	L	2,565	https://www.topuniversities.com/universities/university-miami
University of Hawaiʻi at Mānoa	Honolulu	Public	Very High	9	Yes	1,586	L	1,640	https://www.topuniversities.com/universities/university-hawaii-manoa
Northeastern University	Boston	Private	Very High	12	Yes	7,595	L	1,723	https://www.topuniversities.com/universities/northeastern-university
Virginia Polytechnic Institute and State University	Blacksburg	Public	Very High	12	Yes	4,477	XL	2,802	https://www.topuniversities.com/universities/virginia-polytechnic-institute-state-university
University of California, Santa Cruz	Santa Cruz	Public	Very High	18		2,130	L	1,045	https://www.topuniversities.com/universities/university-california-santa-cruz
George Washington University	Ashburn	Private	Very High	11	Yes	4,024	L	2,016	https://www.topuniversities.com/universities/george-washington-university
University of Utah	Salt Lake City	Public	Very High	8	Yes	2,134	L	3,345	https://www.topuniversities.com/universities/university-utah
University of Connecticut	Storrs	Public	Very High	19	Yes	3,765	L	1,328	https://www.topuniversities.com/universities/university-connecticut
Stony Brook University, State University of New York	Stony Brook	Public	Very High	11		6,198	L	2,316	https://www.topuniversities.com/universities/stony-brook-university-state-university-new-york
University of Kansas	Lawrence	Public	Very High	7	Yes	2,014	L	3,357	https://www.topuniversities.com/universities/university-kansas
University at Buffalo SUNY	Buffalo	Public	Very High	19		4,409	L	1,530	https://www.topuniversities.com/universities/university-buffalo-suny
University of California, Riverside	Riverside	Public	Very High	17		2,034	L	1,497	https://www.topuniversities.com/universities/university-california-riverside
University of Colorado, Denver	Denver	Public	Very High	3		1,274	L	5,319	https://www.topuniversities.com/universities/university-colorado-denver1
Washington State University	Pullman	Public	Very High	14	Yes	1,731	L	1,935	https://www.topuniversities.com/universities/washington-state-university
Wake Forest University	Winston-Salem	Private	Very High	4	Yes	805	M	2,276	https://www.topuniversities.com/universities/wake-forest-university
Colorado State University	Fort Collins	Public	Very High	8	Yes	1,547	L	3,115	https://www.topuniversities.com/universities/colorado-state-university
Rensselaer Polytechnic Institute	Troy	Private	Very High	12	Yes	1,594	M	639	https://www.topuniversities.com/universities/rensselaer-polytechnic-institute
Tulane University	New Orleans	Private	Very High	6	Yes	1,172	M	1,733	https://www.topuniversities.com/universities/tulane-university
Illinois Institute of Technology	Chicago	Private	Very High	15	Yes	2,330	M	402	https://www.topuniversities.com/universities/illinois-institute-technology
Brandeis University	Waltham	Private	Very High	9	Yes	1,554	M	611	https://www.topuniversities.com/universities/brandeis-university
University of Iowa	Iowa City	Public	Very High	10	Yes	2,049	L	2,924	https://www.topuniversities.com/universities/university-iowa
Colorado School of Mines	Golden	Public	Very High	11	Yes	627	M	544	https://www.topuniversities.com/universities/colorado-school-mines
Florida State University	Tallahassee	Public	Very High	17		1,618	XL	2,236	https://www.topuniversities.com/universities/florida-state-university
University of Missouri, Columbia	Columbia	Public	Very High	10		1,273	L	2,600	https://www.topuniversities.com/universities/university-missouri-columbia
University of Texas Dallas	Richardson	Public	Very High	22		4,828	L	1,140	https://www.topuniversities.com/universities/university-texas-dallas
Boston College	Newton	Private	Very High	13	Yes	1,471	L	1,048	https://www.topuniversities.com/universities/boston-college
Iowa State University	Ames	Public	Very High	17	Yes	2,441	L	1,656	https://www.topuniversities.com/universities/iowa-state-university
Missouri University of Science and Technology	Rolla	Public	Very High	18	Yes	557	M	369	https://www.topuniversities.com/universities/missouri-university-science-technology
Wayne State University	Detroit	Public	Very High	8		1,278	L	2,699	https://www.topuniversities.com/universities/wayne-state-university
Lehigh University	Bethlehem	Private	Very High	11	Yes	1,152	M	604	https://www.topuniversities.com/universities/lehigh-university
Oregon State University	Corvallis	Public	Very High	12	Yes	2,769	L	2,147	https://www.topuniversities.com/universities/oregon-state-university
University of Delaware	Newark	Public	Very High	17	Yes	2,337	L	1,272	https://www.topuniversities.com/universities/university-delaware
The University of Georgia	Athens	Public	Very High	15	Yes	1,879	XL	2,406	https://www.topuniversities.com/universities/university-georgia
The University of Tennessee, Knoxville	Knoxville				Yes				https://www.topuniversities.com/universities/university-tennessee-knoxville
The New School	New York	Private	Very High	9	Yes	3,599	M	1,087	https://www.topuniversities.com/universities/new-school
University of Nebraska - Lincoln	Lincoln	Public	Very High	12		2,805	L	1,953	https://www.topuniversities.com/universities/university-nebraska-lincoln
University of South Florida	Tampa	Public	Very High	18		5,211	XL	2,171	https://www.topuniversities.com/universities/university-south-florida
Clark University	Worcester	Private	Very High	12	Yes	853	S	276	https://www.topuniversities.com/universities/clark-university
Smith College	Northampton	Private	Very High	8		368	S	378	https://www.topuniversities.com/universities/smith-college
University of Cincinnati	Cincinnati	Public	Very High	11	Yes	2,800	XL	2,756	https://www.topuniversities.com/universities/university-cincinnati
University of South Carolina	Columbia	Public	Very High	15		1,532	XL	2,169	https://www.topuniversities.com/universities/university-south-carolina
American University	Washington D.C.	Private	High	11	Yes	1,305	M	1,091	https://www.topuniversities.com/universities/american-university
College of William and Mary	Williamsburg	Public	Very High	10		729	M	814	https://www.topuniversities.com/universities/college-william-mary
Drexel University	Philadelphia	Private	Very High	11	Yes	2,526	L	1,837	https://www.topuniversities.com/universities/drexel-university
Howard University	Washington D.C.	Private	High	8	Yes	531	M	1,111	https://www.topuniversities.com/universities/howard-university
Michigan Technological University	Houghton	Public	Very High	12	Yes	694	M	562	https://www.topuniversities.com/universities/michigan-technological-university
Syracuse University	Syracuse	Private	Very High	14	Yes	3,571	L	1,374	https://www.topuniversities.com/universities/syracuse-university
University of Kentucky	Lexington	Public	Very High	12	Yes	1,294	L	2,239	https://www.topuniversities.com/universities/university-kentucky
University of Massachusetts Boston	Boston	Public	Very High	15		1,527	L	838	https://www.topuniversities.com/universities/university-massachusetts-boston
University of New Mexico	Albuquerque	Public	Very High	9		870	L	2,119	https://www.topuniversities.com/universities/university-new-mexico
University of Oklahoma	Norman	Public	Very High	14		1,418	L	1,709	https://www.topuniversities.com/universities/university-oklahoma
University of Oregon	Eugene	Public	Very High	13	Yes	1,740	L	1,583	https://www.topuniversities.com/universities/university-oregon
University of Vermont	Burlington	Public	High	8		546	L	1,485	https://www.topuniversities.com/universities/university-vermont
City University of New York	New York City	Public	Very High	16		6,462	XL	7,782	https://www.topuniversities.com/universities/city-university-new-york
New Jersey Institute of Technology (NJIT)	Newark	Public	Very High	14		2,874	M	629	https://www.topuniversities.com/universities/new-jersey-institute-technology-njit
Stevens Institute of Technology	Hoboken	Private	Very High	20	Yes	1,919	M	315	https://www.topuniversities.com/universities/stevens-institute-technology
University of Houston	Houston	Public	Very High	22	Yes	3,049	XL	1,702	https://www.topuniversities.com/universities/university-houston
Virginia Commonwealth University	Richmond	Public	Very High	9	Yes	995	L	2,771	https://www.topuniversities.com/universities/virginia-commonwealth-university
Clarkson University	Potsdam	Private	Very High	14	Yes	384	S	291	https://www.topuniversities.com/universities/clarkson-university
Georgia State University	Atlanta	Public	Very High	24	Yes	1,756	XL	1,281	https://www.topuniversities.com/universities/georgia-state-university
Temple University	Philadelphia	Public	Very High	12	Yes	2,097	XL	2,767	https://www.topuniversities.com/universities/temple-university
University at Albany SUNY	Albany	Public	Very High	19		1,216	L	821	https://www.topuniversities.com/universities/university-albany-suny
University of Central Florida	Orlando	Public	Very High	25	Yes	2,562	XL	2,146	https://www.topuniversities.com/universities/university-central-florida
University of Denver	Denver	Private	Very High	10		599	M	1,000	https://www.topuniversities.com/universities/university-denver1
University of Maryland, Baltimore County	Baltimore	Public	High	14	Yes	1,074	M	834	https://www.topuniversities.com/universities/university-maryland-baltimore-county
Worcester Polytechnic Institute	Worcester	Private	Very High	14		837	M	432	https://www.topuniversities.com/universities/worcester-polytechnic-institute
Auburn University	Auburn	Public	Very High	18		2,283	L	1,507	https://www.topuniversities.com/universities/auburn-university
Binghamton University SUNY	Binghamton	Public	Very High	20		1,833	L	849	https://www.topuniversities.com/universities/binghamton-university-suny
Clemson University	Clemson	Public	Very High	15	Yes	1,418	L	1,558	https://www.topuniversities.com/universities/clemson-university
Florida International University	Miami	Public	High	16	Yes	3,575	XL	2,221	https://www.topuniversities.com/universities/florida-international-university
Fordham University	New York City	Private	High	13	Yes	1,982	L	1,123	https://www.topuniversities.com/universities/fordham-university
George Mason University	Fairfax	Public	Very High	15	Yes	2,737	L	2,011	https://www.topuniversities.com/universities/george-mason-university
Indiana University–Purdue University Indianapolis	Indianapolis	Public	High	15		1,104	L	1,540	https://www.topuniversities.com/universities/indiana-university-purdue-university-indianapolis
Kansas State University	Manhattan	Public	Very High	14		1,481	L	1,371	https://www.topuniversities.com/universities/kansas-state-university
Louisiana State University	Baton Rouge	Public	Very High	21	Yes	1,315	XL	1,490	https://www.topuniversities.com/universities/louisiana-state-university
Loyola University Chicago	Chicago	Private	High	12	Yes	726	L	1,297	https://www.topuniversities.com/universities/loyola-university-chicago
Oklahoma State University	Stillwater	Public	High	14	Yes	1,617	L	1,484	https://www.topuniversities.com/universities/oklahoma-state-university
Rutgers University–Newark	Newark	Public	High	14		1,246	M	764	https://www.topuniversities.com/universities/rutgers-university-newark
Seattle University	Seattle	Private	High	11	Yes	702	M	601	https://www.topuniversities.com/universities/seattle-university
Southern Methodist University	Dallas	Private	Very High	10	Yes	1,213	M	969	https://www.topuniversities.com/universities/southern-methodist-university
Texas Tech University	Lubbock	Public	High	19		2,196	XL	1,772	https://www.topuniversities.com/universities/texas-tech-university
The University of Alabama	Tuscaloosa	Public	Very High	20		1,283	XL	1,694	https://www.topuniversities.com/universities/university-alabama
University of Hartford	West Hartford	Private	Medium	11		412	M	517	https://www.topuniversities.com/universities/university-hartford
University of Mississippi	Oxford	Public	Very High	10	Yes	628	L	2,017	https://www.topuniversities.com/universities/university-mississippi
University of Missouri, Kansas City	Kansas City	Public	Very High	12		817	M	841	https://www.topuniversities.com/universities/university-missouri-kansas-city
University of New Hampshire	Durham	Public	Very High	17		768	L	862	https://www.topuniversities.com/universities/university-new-hampshire
University of Texas at San Antonio	San Antonio	Public	Very High	22		775	L	1,182	https://www.topuniversities.com/universities/university-texas-san-antonio
University of Tulsa	Tulsa	Private	Very High	11	Yes	550	S	376	https://www.topuniversities.com/universities/university-tulsa
University of Wisconsin Milwaukee	Milwaukee	Public	Very High	16		1,067	L	1,336	https://www.topuniversities.com/universities/university-wisconsin-milwaukee
University of Wyoming	Laramie	Public	Very High	12	Yes	564	M	904	https://www.topuniversities.com/universities/university-wyoming
West Virginia University	Morgantown	Public	Very High	15	Yes	1,807	L	1,605	https://www.topuniversities.com/universities/west-virginia-university
Baylor University	Waco	Private	Very High	13	Yes	777	L	1,294	https://www.topuniversities.com/universities/baylor-university
Brigham Young University	Provo	Private	Very High	21		1,163	XL	1,512	https://www.topuniversities.com/universities/brigham-young-university
Florida Atlantic University - Boca Raton	Boca Raton	Public	High	19		998	L	1,139	https://www.topuniversities.com/universities/florida-atlantic-university-boca-raton
Kent State University	Kent	Public	Very High	19	Yes	1,465	L	1,252	https://www.topuniversities.com/universities/kent-state-university
Marquette University	Milwaukee	Private	Very High	12	Yes	367	M	913	https://www.topuniversities.com/universities/marquette-university
Miami University	Oxford	Public	High	17		2,260	L	1,062	https://www.topuniversities.com/universities/miami-university
Mississippi State University	Starkville	Public	Very High	18		730	L	1,103	https://www.topuniversities.com/universities/mississippi-state-university
Northern Arizona University	Flagstaff	Public	High	22	Yes	1,162	L	1,158	https://www.topuniversities.com/universities/northern-arizona-university
Ohio University	Athens	Public	High	20		977	L	1,169	https://www.topuniversities.com/universities/ohio-university
Portland State University	Portland	Public	Very High	17		1,230	L	1,091	https://www.topuniversities.com/universities/portland-state-university
Rochester Institute of Technology (RIT)	Rochester	Private	High	12	Yes	1,586	L	1,136	https://www.topuniversities.com/universities/rochester-institute-technology-rit
San Diego State University	San Diego 	Public	Very High	25	Yes	2,092	XL	1,262	https://www.topuniversities.com/universities/san-diego-state-university
The University of Texas at Arlington	Arlington	Public	Very High	22		4,106	XL	1,481	https://www.topuniversities.com/universities/university-texas-arlington
University of Arkansas Fayetteville	Fayetteville	Public	Very High	18	Yes	1,134	L	1,364	https://www.topuniversities.com/universities/university-arkansas-fayetteville
University of Montana Missoula	Missoula 	Public	Very High	14		190	M	648	https://www.topuniversities.com/universities/university-montana-missoula
University of North Carolina at Charlotte	Charlotte	Public	Very High	19		1,661	L	1,303	https://www.topuniversities.com/universities/university-north-carolina-charlotte
University of North Texas	Denton	Public	High	23	Yes	2,420	XL	1,395	https://www.topuniversities.com/universities/university-north-texas
University of Rhode Island	Kingston	Public	High	17		417	L	910	https://www.topuniversities.com/universities/university-rhode-island
University of San Diego	San Diego	Private	High	12	Yes	638	M	647	https://www.topuniversities.com/universities/university-san-diego
University of San Francisco	San Francisco	Private	High	14	Yes	1,419	M	696	https://www.topuniversities.com/universities/university-san-francisco
University of South Alabama (USA)	Mobile	Public	High	13		287	L	939	https://www.topuniversities.com/universities/university-south-alabama-usa
University of Texas El Paso	El Paso	Public	Very High	20		1,351	L	922	https://www.topuniversities.com/universities/university-texas-el-paso
University of the Pacific	Stockton	Private	High	10	Yes	389	M	560	https://www.topuniversities.com/universities/university-pacific
Utah State University	Logan	Public	Very High	19		331	L	1,053	https://www.topuniversities.com/universities/utah-state-university
Western Michigan University	Kalamazoo	Public	High	16		1,664	L	1,144	https://www.topuniversities.com/universities/western-michigan-university
Indiana State University	Terre Haute	Public	High	18	Yes	340	M	537	https://www.topuniversities.com/universities/indiana-state-university
